"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"40","6.424280","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"45","6.664358","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"46","6.736282","1.8.1","host","USB","35","0000163900000000","URB_INTERRUPT in"
"50","6.760309","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"52","7.048275","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"54","7.384276","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"56","7.520375","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"58","7.680299","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"59","7.760355","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"61","7.888246","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"62","7.960273","1.8.1","host","USB","35","0000150800000000","URB_INTERRUPT in"
"63","8.016283","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"64","8.056268","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"65","8.160263","1.8.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"67","8.384282","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"69","8.472354","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"71","8.624285","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"72","8.704293","1.8.1","host","USB","35","0000162c00000000","URB_INTERRUPT in"
"73","8.736376","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"75","8.928382","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"77","9.072377","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"79","9.224298","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"81","10.080274","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"83","10.400290","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"85","10.792383","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"87","11.000243","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"92","11.288376","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"94","11.376359","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"99","11.576247","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"101","11.792286","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"103","12.040290","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"105","12.320273","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"107","12.568286","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"109","12.672273","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"110","12.728270","1.8.1","host","USB","35","0000072c00000000","URB_INTERRUPT in"
"111","12.744385","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"113","13.000382","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"115","13.248294","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"117","13.448250","1.8.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"119","13.560303","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"121","13.720286","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"123","13.920244","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"125","14.024304","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"127","14.144276","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"129","14.328303","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"131","14.480351","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"133","14.736311","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"135","14.808244","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"137","14.928329","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"139","15.200242","1.8.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"141","15.352300","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"143","15.576249","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"145","15.720243","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"147","16.024406","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"149","16.160285","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"151","16.304295","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"153","16.576314","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"155","16.656308","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"157","16.808273","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"159","16.952246","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"161","17.040296","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"163","17.248298","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"165","17.416290","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"166","17.496322","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"168","17.672313","1.8.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"170","17.896313","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"171","17.944246","1.8.1","host","USB","35","0000150800000000","URB_INTERRUPT in"
"172","18.000265","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
